sentence,category,score
Print,UNCAT,1
Spandeck Engineering (S) Pte Ltd v Defence Science & Technology Agency,AXIOM,0.452610552
[2007] 4 SLR(R) 100; [2007] SGCA 37,AXIOM,0.59112221
Case Number:Civil Appeal No 3 of 2007,UNCAT,0.942935169
Decision Date:08 August 2007,UNCAT,0.999999881
Tribunal/Court:Court of Appeal,UNCAT,0.996536255
Coram:Chan Sek Keong CJ; Andrew Phang Boon Leong JA; V K Rajah JA,CONCLUSION,0.665369809
"Counsel Name(s):Mohan R Pillay (MPillay) and Gopinath Pillai (Tan Peng Chin LLC) for the appellant; Tai Chean Ming, Chong Kuan Keong and Tan Joo Seng (Chong Chia & Lim LLC) for the respondent.",UNCAT,0.994403958
Parties:Spandeck Engineering (S) Pte Ltd — Defence Science & Technology Agency,UNCAT,0.970141709
Tort – Negligence – Damages – Pure economic loss – Whether pure economic loss recoverable in Singapore – Whether different test applying in relation to pure economic loss to determine duty of care – Single test to apply notwithstanding damage claimed as pure economic loss,UNCAT,0.866580546
Tort – Negligence – Duty of care – Applicable test to determine existence of duty of care – Relationship between two-stage test and incremental approach – Application of two-stage test comprising first proximity and second policy considerations with threshold consideration of factual foreseeability – Incremental approach as methodological aid in applying specific criterion of two-stage test,LEGAL_TEST,0.99496305
Tort – Negligence – Duty of care – Applicable test to determine existence of duty of care – Whether type of damage claimed should result in different test – Application of single (two-stage) test irrespective of type of damage claimed,LEGAL_TEST,0.516507685
Tort – Negligence – Duty of care – Whether there was proximity between contractor and certifier given that contractor could submit disputes for arbitration – Whether there was proximity between contractor and certifier given no direct contractual relationship between contractor and certifier – Whether policy considerations negating finding of duty of care,UNCAT,0.999509573
Facts,UNCAT,1
The appellant was awarded a contract based on its alternative tender (“the Contract”) by the Government of Singapore (“the Employer”) to redevelop a medical facility at an army camp (“the Project”).,UNCAT,0.99954766
"Pursuant to the Contract, the respondent was appointed the superintending officer (“SO”) of the Project and was responsible for, inter alia, certifying interim payments in respect of the appellant’s work for the Project.",UNCAT,0.967803597
"While cl 32.8 of the Contract precluded the appellant from claiming against the Employer damages for the failure or delay of the respondent in certification, cl 34 provided that the appellant had the right to claim the amounts under-certified and interest thereon by commencing arbitration proceedings against the Employer.",UNCAT,0.943356693
The tender documents for the Project required the appellant to submit a summary of tender (“SOT”) and a cost breakdown (“CBD”).,UNCAT,0.999951839
"As the SOT and CBD submitted by the appellant were based on its original base tender and did not accurately reflect the actual value of the works to be carried out by the appellant, the quantity surveyor for the Project (“KPK”) requested the appellant to submit a revised SOT and CBD.",UNCAT,0.987716496
"Pursuant to this request, the appellant submitted a revised SOT and CBD which was incorporated into the Contract after further revisions in or about October 1999 (“the Contract SOT” and “the Contract CBD” respectively).",UNCAT,0.980605125
"In September 2000, the appellant contended that numerous items were omitted from the Contract SOT and the Contract CBD and requested for KPK to approve a revised SOT and CBD for the future assessment of its progress claims.",UNCAT,0.949029982
"The appellant eventually decided not to continue with the revision of the Contract SOT and the Contract CBD and subsequently novated the Contract to another contractor, suffering losses in the process.",UNCAT,0.965993345
"The appellant then claimed against the respondent for negligence on the basis that the respondent owed it a duty of care to apply professional skill and judgment in certifying, in a fair and unbiased manner, payment for work carried out by the appellant to avoid causing it any pure economic loss.",UNCAT,0.86751008
The appellant claimed that the respondent had breached this duty by negligently undervaluing and under-certifying the appellant’s works.,UNCAT,0.954943001
The trial judge found that the respondent did not owe a duty of care to the appellant.,UNCAT,0.999799311
"On appeal, the threshold issue was whether there was a duty of care owed by the respondent to the appellant and the applicable test for ascertaining the existence of a duty of care.",ISSUE,0.727149248
"Held, dismissing the appeal:",UNCAT,0.999942899
"(1)    A single test should determine the imposition of a duty of care in all claims arising out of negligence, irrespective of the type of the damages claimed.",LEGAL_TEST,0.498222679
"There was no justification for a general exclusionary rule against recovery of all economic losses, nor was there a need to adopt a different test for such cases.",LEGAL_TEST,0.559040964
"The single test eliminated the perception that there were, at once, two or more tests which were equally applicable: at [71] and [72].",LEGAL_TEST,0.360161066
"(2)    The test to determine the imposition of a duty of care was a two-stage test comprising of, first, proximity and, second, policy considerations, which were together preceded by the threshold question of factual foreseeability.",LEGAL_TEST,0.845841587
The first stage of proximity required sufficient legal proximity between the claimant and defendant for a duty of care to arise.,LEGAL_TEST,0.564237475
"The focus was on the closeness of the relationship between the parties, including physical, circumstantial and causal proximity, supported by the twin criteria of voluntary assumption of responsibility and reliance.",LEGAL_TEST,0.68765372
"If a positive answer to the threshold question of factual foreseeability and the first stage of proximity was assumed, a prima facie duty of care arose.",UNCAT,0.975867391
"Policy considerations, such as the presence of a contractual matrix which clearly defined the rights and liabilities of the parties and their relative bargaining positions, then arose and were applied to the factual matrix to determine whether or not to negate this prima facie duty: at [77], [81], [83] and [115].",CONCLUSION,0.44258979
(3)    The two-stage test was to be applied incrementally with reference to the facts of decided cases.,UNCAT,0.869650424
"However, the absence of a factual precedent in analogous situations of proximity and/or policy considerations should not preclude the court from extending liability where it was just and fair to do so, taking into account the relevant policy consideration against indeterminate liability against a tortfeasor: at [43], [73] and [115].",CONCLUSION,0.744287252
"(4)    Accepting that the threshold question of factual foreseeability was satisfied and applying the two-stage test to the facts of the present case, the first stage requirement of proximity was not satisfied.",UNCAT,0.804665864
"Although the appellant was precluded from claiming damages against the Employer for failure or delay of the respondent in certification, the appellant was always free to claim the amounts under-certified and interest thereon by arbitration proceedings against the Employer.",UNCAT,0.972744465
"Since the Contract provided for correction by arbitration, the respondent was not employed to exercise due care in the interest of the appellant, so it could not be regarded as assuming responsibility to the appellant.",UNCAT,0.831405103
"Adopting an incremental approach with respect to the requirement of proximity and in view of cl 34, there was no voluntarily assumption of responsibility nor reliance and the respondent could not be held to have a duty of care to the appellant to certify the payments for work done correctly: at [87], [89], [97], [99] to [102], [108] and [109].",CONCLUSION,0.903573275
"(5)    As for the second stage of policy considerations, it was relevant that the appellant had freely entered into the Contract and knew that a claim against the Employer must be by way of arbitration.",UNCAT,0.908484042
